0,1,2,3,4,5,6,7,8
2009/04/10(星期五),3740,10,3340,10.0,5670.0,60.0,4450.0,50.0
2009/04/11(星期六),3730,10,3330,10.0,5750.0,80.0,4510.0,60.0
2009/04/13(星期一),3740,10,3340,10.0,5900.0,150.0,4630.0,120.0
2009/04/14(星期二),3770,30,3370,30.0,5810.0,90.0,4610.0,20.0
2009/04/15(星期三),3770,0,3370,0.0,5780.0,30.0,4580.0,30.0
2009/04/16(星期四),3770,0,3370,0.0,5780.0,0.0,4540.0,40.0
2009/04/17(星期五),3720,50,3320,50.0,5740.0,40.0,4560.0,20.0
2009/04/18(星期六),3700,20,3300,20.0,5750.0,10.0,4560.0,0.0
2009/04/20(星期一),3720,20,3320,20.0,5700.0,50.0,4520.0,40.0
2009/04/21(星期二),3760,40,3360,40.0,5510.0,190.0,4380.0,140.0
2009/04/22(星期三),3750,10,3350,10.0,5560.0,50.0,4410.0,30.0
2009/04/23(星期四),3780,30,3380,30.0,5590.0,30.0,4390.0,20.0
2009/04/24(星期五),3820,40,3420,40.0,5640.0,50.0,4430.0,40.0
2009/04/25(星期六),3840,20,3440,20.0,5590.0,50.0,4390.0,40.0
2009/04/27(星期一),3860,20,3460,20.0,5600.0,10.0,4400.0,10.0
2009/04/28(星期二),3810,50,3410,50.0,5420.0,180.0,4300.0,100.0
2009/04/29(星期三),3770,40,3370,40.0,5210.0,210.0,4140.0,160.0
2009/04/30(星期四),3750,20,3350,20.0,5180.0,30.0,4120.0,20.0
2009/05/01(星期五),3730,20,3330,20.0,5130.0,50.0,4080.0,40.0
2009/05/02(星期六),3700,30,3300,30.0,5100.0,30.0,4050.0,30.0
2009/05/04(星期一),3700,0,3300,0.0,5070.0,30.0,4030.0,20.0
2009/05/05(星期二),3750,50,3350,50.0,5240.0,170.0,4160.0,130.0
2009/05/06(星期三),3750,0,3350,0.0,5260.0,20.0,4180.0,20.0
2009/05/07(星期四),3780,30,3380,30.0,5360.0,100.0,4260.0,80.0
2009/05/08(星期五),3790,10,3390,10.0,5350.0,10.0,4250.0,10.0
2009/05/09(星期六),3790,0,3390,0.0,5360.0,10.0,4210.0,40.0
2009/05/11(星期一),3780,10,3380,10.0,5290.0,70.0,4200.0,10.0
2009/05/12(星期二),3780,0,3380,0.0,5240.0,50.0,4160.0,40.0
2009/05/13(星期三),3810,30,3410,30.0,5230.0,10.0,4160.0,0.0
2009/05/14(星期四),3830,20,3430,20.0,5180.0,50.0,4070.0,90.0
2009/05/15(星期五),3830,0,3430,0.0,5210.0,30.0,4140.0,70.0
2009/05/16(星期六),3830,0,3430,0.0,5130.0,80.0,4080.0,60.0
2009/05/18(星期一),3850,20,3450,20.0,5130.0,0.0,4080.0,0.0
2009/05/19(星期二),3810,40,3410,40.0,5250.0,120.0,4170.0,90.0
2009/05/20(星期三),3820,10,3420,10.0,5250.0,0.0,4170.0,0.0
2009/05/21(星期四),3850,30,3450,30.0,5250.0,0.0,4170.0,0.0
2009/05/22(星期五),3880,30,3480,30.0,5300.0,50.0,4210.0,40.0
2009/05/23(星期六),3900,20,3500,20.0,5300.0,0.0,4210.0,0.0
2009/05/25(星期一),3910,10,3510,10.0,5310.0,10.0,4220.0,10.0
2009/05/26(星期二),3910,0,3510,0.0,5170.0,140.0,4190.0,30.0
2009/05/27(星期三),3880,30,3480,30.0,5210.0,40.0,4140.0,50.0
2009/05/28(星期四),3860,20,3460,20.0,5210.0,0.0,4140.0,0.0
2009/05/29(星期五),3900,40,3500,40.0,5370.0,160.0,4270.0,130.0
2009/05/30(星期六),3950,50,3550,50.0,5470.0,100.0,4290.0,20.0
2009/06/01(星期一),3980,30,3580,30.0,5490.0,20.0,4360.0,70.0
2009/06/02(星期二),3960,20,3560,20.0,5580.0,90.0,4430.0,70.0
2009/06/03(星期三),4000,40,3600,40.0,5670.0,90.0,4500.0,70.0
2009/06/04(星期四),3960,40,3560,40.0,5700.0,30.0,4520.0,20.0
2009/06/05(星期五),3980,20,3580,20.0,5860.0,160.0,4650.0,130.0
2009/06/06(星期六),3940,40,3540,40.0,5830.0,30.0,4630.0,20.0
2009/06/08(星期一),3950,10,3550,10.0,5840.0,10.0,4630.0,0.0
2009/06/09(星期二),3940,10,3540,10.0,5710.0,130.0,4530.0,100.0
2009/06/10(星期三),3950,10,3550,10.0,5780.0,70.0,4590.0,60.0
2009/06/11(星期四),3920,30,3520,30.0,5800.0,20.0,4600.0,10.0
2009/06/12(星期五),3920,0,3520,0.0,5850.0,50.0,4640.0,40.0
2009/06/13(星期六),3870,50,3470,50.0,5790.0,60.0,4550.0,90.0
2009/06/15(星期一),3850,20,3450,20.0,5740.0,50.0,4540.0,10.0
2009/06/16(星期二),3840,10,3440,10.0,5680.0,60.0,4460.0,80.0
2009/06/17(星期三),3840,0,3440,0.0,5610.0,70.0,4400.0,60.0
2009/06/18(星期四),3860,20,3460,20.0,5630.0,20.0,4420.0,20.0
2009/06/19(星期五),3850,10,3450,10.0,5590.0,40.0,4390.0,30.0
2009/06/20(星期六),3850,0,3450,0.0,5590.0,0.0,4390.0,0.0
2009/06/22(星期一),3850,0,3450,0.0,5570.0,20.0,4370.0,20.0
2009/06/23(星期二),3830,20,3430,20.0,5390.0,180.0,4280.0,90.0
2009/06/24(星期三),3830,0,3430,0.0,5380.0,10.0,4270.0,10.0
2009/06/25(星期四),3860,30,3460,30.0,5420.0,40.0,4300.0,30.0
2009/06/26(星期五),3870,10,3470,10.0,5580.0,160.0,4430.0,130.0
2009/06/27(星期六),3860,10,3460,10.0,5570.0,10.0,4400.0,30.0
2009/06/29(星期一),3850,10,3450,10.0,5530.0,40.0,4390.0,10.0
2009/06/30(星期二),3860,10,3460,10.0,5520.0,10.0,4380.0,10.0
2009/07/01(星期三),3820,40,3420,40.0,5420.0,100.0,4300.0,80.0
2009/07/02(星期四),3850,30,3450,30.0,5490.0,70.0,4360.0,60.0
2009/07/03(星期五),3830,20,3430,20.0,5490.0,0.0,4360.0,0.0
2009/07/04(星期六),3830,0,3430,0.0,5490.0,0.0,4360.0,0.0
2009/07/06(星期一),3830,0,3430,0.0,5450.0,40.0,4330.0,30.0
2009/07/07(星期二),3810,20,3410,20.0,5340.0,110.0,4240.0,90.0
2009/07/08(星期三),3810,0,3410,0.0,5190.0,150.0,4120.0,120.0
2009/07/09(星期四),3780,30,3380,30.0,4990.0,200.0,3970.0,150.0
2009/07/10(星期五),3810,30,3410,30.0,4990.0,0.0,3970.0,0.0
2009/07/11(星期六),3810,0,3410,0.0,5010.0,20.0,3990.0,20.0
2009/07/13(星期一),3820,10,3420,10.0,5180.0,170.0,4070.0,80.0
2009/07/14(星期二),3840,20,3440,20.0,5200.0,20.0,4130.0,60.0
2009/07/15(星期三),3840,0,3440,0.0,5300.0,100.0,4210.0,80.0
2009/07/16(星期四),3880,40,3480,40.0,5420.0,120.0,4300.0,90.0
2009/07/17(星期五),3880,0,3480,0.0,5400.0,20.0,4300.0,0.0
2009/07/18(星期六),3880,0,3480,0.0,5460.0,60.0,4400.0,100.0
2009/07/20(星期一),3890,10,3490,10.0,5460.0,0.0,4400.0,0.0
2009/07/21(星期二),3910,20,3510,20.0,5500.0,40.0,4370.0,30.0
2009/07/22(星期三),3900,10,3500,10.0,5430.0,70.0,4310.0,60.0
2009/07/23(星期四),3920,20,3520,20.0,5460.0,30.0,4340.0,30.0
2009/07/24(星期五),3910,10,3510,10.0,5410.0,50.0,4310.0,30.0
2009/07/25(星期六),3910,0,3510,0.0,5510.0,100.0,4400.0,90.0
2009/07/27(星期一),3930,20,3530,20.0,5540.0,30.0,4400.0,0.0
2009/07/28(星期二),3920,10,3520,10.0,5580.0,40.0,4430.0,30.0
2009/07/29(星期三),3880,40,3480,40.0,5560.0,20.0,4360.0,70.0
2009/07/30(星期四),3860,20,3460,20.0,5420.0,140.0,4250.0,110.0
2009/07/31(星期五),3870,10,3470,10.0,5510.0,90.0,4330.0,80.0
2009/08/01(星期六),3910,40,3510,40.0,5600.0,90.0,4400.0,70.0
2009/08/03(星期一),3920,10,3520,10.0,5600.0,0.0,4400.0,0.0
2009/08/04(星期二),3920,0,3520,0.0,5690.0,90.0,4470.0,70.0
2009/08/05(星期三),3960,40,3560,40.0,5840.0,150.0,4580.0,110.0
2009/08/06(星期四),3960,0,3560,0.0,5910.0,70.0,4640.0,60.0
2009/08/07(星期五),3950,10,3550,10.0,5860.0,50.0,4590.0,50.0
2009/08/08(星期六),3930,20,3530,20.0,5820.0,40.0,4570.0,20.0
2009/08/10(星期一),3930,0,3530,0.0,5800.0,20.0,4550.0,20.0
2009/08/11(星期二),3920,10,3520,10.0,5780.0,20.0,4540.0,10.0
2009/08/12(星期三),3920,0,3520,0.0,5750.0,30.0,4510.0,30.0
2009/08/13(星期四),3930,10,3530,10.0,5820.0,70.0,4570.0,60.0
2009/08/14(星期五),3950,20,3550,20.0,5890.0,70.0,4620.0,50.0
2009/08/15(星期六),3910,40,3510,40.0,5820.0,70.0,4570.0,50.0
2009/08/17(星期一),3910,0,3510,0.0,5820.0,0.0,4570.0,0.0
2009/08/18(星期二),3900,10,3500,10.0,5740.0,80.0,4510.0,60.0
2009/08/19(星期三),3910,10,3510,10.0,5720.0,20.0,4490.0,20.0
2009/08/20(星期四),3910,0,3510,0.0,5730.0,10.0,4500.0,10.0
2009/08/21(星期五),3900,10,3500,10.0,5710.0,20.0,4480.0,20.0
2009/08/22(星期六),3930,30,3530,30.0,5800.0,90.0,4550.0,70.0
2009/08/24(星期一),3930,0,3530,0.0,5820.0,20.0,4570.0,20.0
2009/08/25(星期二),3910,20,3510,20.0,5740.0,80.0,4510.0,60.0
2009/08/26(星期三),3920,10,3520,10.0,5750.0,10.0,4510.0,0.0
2009/08/27(星期四),3920,0,3520,0.0,5710.0,40.0,4480.0,30.0
2009/08/28(星期五),3930,10,3530,10.0,5700.0,10.0,4470.0,10.0
2009/08/29(星期六),3940,10,3540,10.0,5760.0,60.0,4520.0,50.0
2009/08/31(星期一),3960,20,3560,20.0,5740.0,20.0,4510.0,10.0
2009/09/01(星期二),3920,40,3520,40.0,5750.0,10.0,4510.0,0.0
2009/09/02(星期三),3920,0,3520,0.0,5680.0,70.0,4460.0,50.0
2009/09/03(星期四),4000,80,3600,80.0,5690.0,10.0,4470.0,10.0
2009/09/04(星期五),4050,50,3650,50.0,5830.0,140.0,4580.0,110.0
2009/09/05(星期六),4050,0,3650,0.0,5800.0,30.0,4550.0,30.0
2009/09/07(星期一),4050,0,3650,0.0,5840.0,40.0,4580.0,30.0
2009/09/08(星期二),4060,10,3660,10.0,5830.0,10.0,4580.0,0.0
