日期,開盤,最高,最低,收盤,漲跌,漲%,成交量,成交金額,本益比
2019/12/27,451.50,452.50,446.00,446.50,-2.50,-0.56%,"4,174","1,876,124",34.4522
2019/12/26,459.50,460.50,449.00,449.00,-3.00,-0.66%,"5,855","2,664,447",34.6451
2019/12/25,444.00,453.00,444.00,452.00,7.00,1.57%,"2,886","1,296,798",34.8765
2019/12/24,448.00,448.00,444.50,445.00,-4.00,-0.89%,"3,109","1,386,673",34.3364
2019/12/23,445.50,450.00,442.00,449.00,3.00,0.67%,"3,462","1,550,654",34.6451
2019/12/20,454.50,454.50,442.00,446.00,-8.50,-1.87%,"14,088","6,287,393",34.4136
2019/12/19,455.50,456.00,451.50,454.50,-2.00,-0.44%,"9,033","4,102,748",35.0694
2019/12/18,460.00,460.00,453.00,456.50,-4.00,-0.87%,"11,668","5,314,573",35.2238
2019/12/17,444.00,464.00,443.00,460.50,18.50,4.19%,"16,791","7,682,431",35.5324
2019/12/16,435.50,443.50,433.00,442.00,9.50,2.20%,"10,421","4,572,739",34.1049
2019/12/13,430.50,434.00,428.00,432.50,5.00,1.17%,"8,981","3,876,743",33.3719
2019/12/12,430.50,432.50,426.50,427.50,-1.50,-0.35%,"6,398","2,746,093",32.9861
2019/12/11,423.00,429.00,423.00,429.00,4.00,0.94%,"3,798","1,621,947",33.1019
2019/12/10,427.00,427.00,423.50,425.00,-1.50,-0.35%,"3,291","1,398,692",32.7932
2019/12/09,419.00,427.50,418.00,426.50,11.50,2.77%,"7,316","3,108,858",32.909
2019/12/06,420.50,422.00,415.00,415.00,-5.00,-1.19%,"5,192","2,166,193",32.0216
2019/12/05,425.00,426.00,420.00,420.00,-4.50,-1.06%,"5,728","2,417,433",32.4074
2019/12/04,418.00,424.50,416.50,424.50,6.50,1.56%,"6,066","2,556,032",32.7546
2019/12/03,416.50,425.00,416.50,418.00,1.50,0.36%,"7,340","3,085,144",32.2531
2019/12/02,418.50,425.00,412.00,416.50,-5.00,-1.19%,"6,768","2,826,471",32.1373
2019/11/29,434.00,437.00,420.00,421.50,-10.00,-2.32%,"11,552","4,933,526",32.5231
2019/11/28,425.00,432.50,423.00,431.50,9.00,2.13%,"9,884","4,243,950",33.2948
2019/11/27,424.00,426.00,420.00,422.50,2.50,0.60%,"5,953","2,515,058",32.6003
2019/11/26,425.00,427.50,418.50,420.00,1.50,0.36%,"11,091","4,670,771",32.4074
2019/11/25,420.00,422.50,416.00,418.50,7.50,1.82%,"9,092","3,814,839",32.2917
2019/11/22,404.00,412.00,404.00,411.00,4.00,0.98%,"7,320","2,992,981",31.713
2019/11/21,410.00,412.50,398.00,407.00,-7.50,-1.81%,"11,719","4,746,360",31.4043
2019/11/20,421.00,421.00,413.00,414.50,-6.50,-1.54%,"6,028","2,506,360",31.983
2019/11/19,420.00,423.00,417.00,421.00,1.50,0.36%,"3,798","1,595,205",32.4846
2019/11/18,418.50,421.00,416.50,419.50,-2.50,-0.59%,"3,778","1,581,182",32.3688
2019/11/15,414.00,426.00,413.50,422.00,11.50,2.80%,"9,737","4,103,566",32.5617
2019/11/14,409.50,413.00,405.00,410.50,2.50,0.61%,"4,878","1,995,507",31.6256
2019/11/13,404.00,414.50,404.00,408.00,-2.00,-0.49%,"4,983","2,040,721",31.433
2019/11/12,405.00,412.50,405.00,410.00,6.50,1.61%,"5,316","2,178,548",31.5871
2019/11/11,412.00,412.00,403.00,403.50,-10.50,-2.54%,"8,448","3,433,675",31.0863
2019/11/08,425.00,428.00,411.00,414.00,-11.00,-2.59%,"13,226","5,502,170",31.8952
2019/11/07,428.00,431.00,421.00,425.00,-9.00,-2.07%,"11,875","5,046,535",32.7427
2019/11/06,425.50,434.00,423.00,434.00,9.00,2.12%,"13,339","5,730,180",33.4361
2019/11/05,411.50,426.00,411.50,425.00,13.00,3.16%,"11,961","5,044,766",32.7427
2019/11/04,405.00,412.00,404.50,412.00,7.00,1.73%,"8,229","3,368,098",31.7411
2019/11/01,410.00,413.50,403.50,405.00,-3.00,-0.74%,"10,009","4,072,140",31.2018
2019/10/31,396.50,412.00,395.50,408.00,11.50,2.90%,"24,039","9,754,292",31.433
2019/10/30,393.00,399.00,389.50,396.50,3.50,0.89%,"11,147","4,412,763",30.547
2019/10/29,393.00,395.50,385.50,393.00,6.00,1.55%,"13,551","5,319,506",30.2773
2019/10/28,382.50,387.00,381.00,387.00,8.00,2.11%,"7,244","2,786,059",29.8151
2019/10/25,385.00,386.00,379.00,379.00,-2.50,-0.66%,"8,224","3,147,744",29.1988
2019/10/24,376.50,381.50,376.00,381.50,9.50,2.55%,"12,751","4,836,577",29.3914
