mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.5030295372009277,0.12195879929939173,0.0033912181854248045,0.0010178419750274442,0.05,3,60,0.6,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 60, 'subsample': 0.6}",-1108.5335721105678,-246.0597478786014,-209.6622290806745,-58.07395048837333,-1658.1655411899642,-655.9481338123028,621.7407813154089,93,-78.23093327460681,-93.86596325346984,-74.10130307058664,-93.32550513418657,-78.0292284205313,-83.51058663067623,8.366852391823352
0.8633742332458496,0.32282825898811957,0.004391670227050781,0.0025714747851660453,0.05,3,60,0.7,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 60, 'subsample': 0.7}",-1112.2432943321974,-212.75299642440228,-158.56986130341693,-59.05245285439526,-1633.035838954578,-634.9733732718332,626.0696139112613,79,-77.1631524282353,-92.9829133409264,-73.83060097667027,-92.70434808049275,-77.70953082412846,-82.87810913009064,8.24493026829064
1.271021556854248,0.12728103950827968,0.005586004257202149,0.0020524081031162962,0.05,3,60,0.8,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 60, 'subsample': 0.8}",-1119.5615356028468,-947.0031420542117,-159.5938731573905,-62.0050499063805,-1676.735928867966,-792.9228554446677,607.590156546993,125,-76.70261189581171,-92.2189310519554,-73.13857013816592,-92.92424148796007,-77.32895670512157,-82.46266225580294,8.379752114500668
1.292713212966919,0.04115187959651514,0.0029874324798583986,0.0006316031245762534,0.05,3,70,0.6,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 70, 'subsample': 0.6}",-833.4134442016287,-234.18044176367434,-283.6021236282673,-46.71062554940434,-1545.5244730767874,-588.5313065374035,545.302182717186,49,-55.44604859721966,-57.48675325573329,-43.590966927216186,-55.68481234873476,-48.18018063235796,-52.07775235225237,5.307168441801503
1.0661867141723633,0.22609287986996293,0.007580089569091797,0.007767019592924715,0.05,3,70,0.7,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 70, 'subsample': 0.7}",-874.7951654095162,-723.0395229400725,-130.88134272762457,-47.842641454869046,-1506.0750644233553,-656.4368055646887,532.8449048485661,95,-54.961964987861606,-56.97824088020589,-42.927119137421386,-54.99342818938119,-47.64201977520773,-51.500554594015554,5.34001238564264
0.6848394393920898,0.17200773070482978,0.0032892227172851562,0.0007457834222357521,0.05,3,70,0.8,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 70, 'subsample': 0.8}",-746.9980354022739,-603.7502534862465,-136.4613442145742,-46.79617294166786,-1520.4444081142824,-610.7610433936491,526.8868291530345,62,-55.54538423306318,-57.03792248062284,-42.818876230710714,-54.82701178979343,-47.60692507956984,-51.56722396275201,5.451569927495928
0.6633902549743652,0.17343034034710875,0.0058711528778076175,0.00328021308917511,0.05,3,80,0.6,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 80, 'subsample': 0.6}",-591.5034272932387,-509.9674039425108,-218.62540921737215,-41.166889799173475,-1422.2365804098336,-556.5692462452173,475.72438430123907,31,-45.80888535320067,-43.28278996736036,-31.130164798169762,-40.51632383507356,-35.936360002169884,-39.334904791194845,5.249034914625924
0.7220878601074219,0.1527167528908781,0.004591846466064453,0.00420991704539538,0.05,3,80,0.7,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 80, 'subsample': 0.7}",-669.5131939673989,-856.5084463161485,-181.36067360791387,-42.05477722056367,-1436.7424643684644,-637.1596133293327,499.89494326894226,81,-45.36783332602326,-42.41224403675321,-30.583531928331006,-39.701353549058275,-35.37797869019811,-38.68858830607277,5.218346373893867
0.7602653980255127,0.06342779713399396,0.002793025970458984,0.000398612689070113,0.05,3,80,0.8,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 80, 'subsample': 0.8}",-611.5542825756536,-388.5867019735547,-153.701681099293,-42.34673924234604,-1406.9565664704246,-520.476824997733,484.4898441261832,10,-44.93453499602063,-42.342641020823784,-30.264688918831602,-39.59962723700495,-35.43711017547928,-38.51572046963205,5.188038506126093
0.6005027294158936,0.06844247259941472,0.0049839973449707035,0.0028868145958471664,0.05,3,90,0.6,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 90, 'subsample': 0.6}",-517.4827369021625,-220.5531083137082,-192.15986642217294,-41.28390635083135,-1400.2513060738984,-474.1621508906728,487.78732163682355,2,-40.67875520222183,-36.47173168696094,-25.200108663180067,-33.40409228059644,-30.364555841901282,-33.223848734972115,5.267121081369734
0.6476863861083985,0.06472341475968911,0.0031917572021484377,0.0009772236246704347,0.05,3,90,0.7,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 90, 'subsample': 0.7}",-544.9636431521748,-648.3469711241463,-258.34564110876784,-40.3844094147693,-1399.628097605867,-578.2279477753727,462.88719906896426,39,-40.56368023584432,-35.69588557575318,-24.851083849420096,-33.11252869863961,-30.245145895010744,-32.89366485093359,5.261696308321051
