K_value,D_value
22.588566445182725,37.31456099667774
22.742474008207935,37.36535049247606
22.80070930232558,37.384568139534885
22.75945930232558,37.370955639534884
22.77870930232558,37.37730813953488
22.754662790697672,37.369372790697675
22.786042635658916,37.37972813953488
22.77587059264816,37.376371365341335
22.80070930232558,37.384568139534885
22.80070930232558,37.384568139534885
22.777950681635925,37.3770577947073
22.646354463615904,37.33363104276069
22.78461174134997,37.37925594441293
22.77320930232558,37.37549313953488
22.743317997977755,37.365629009100104
22.728970171890797,37.36089422649141
22.772013650151667,37.37509857431749
22.72935795097423,37.36102219358894
22.744539089559623,37.36603196932212
22.788016994633274,37.38037967799642
22.80070930232558,37.384568139534885
22.775803641948222,37.37634927161036
22.688633830627467,37.34758323387451
22.79448288723124,37.38251342255376
22.80070930232558,37.384568139534885
22.793034883720928,37.38203558139535
22.80070930232558,37.384568139534885
22.644393512851895,37.33298392900857
22.62070930232558,37.32516813953488
22.80070930232558,37.384568139534885
22.784995016611294,37.37938242524917
22.722137873754154,37.35863956810631
22.74914680232558,37.367552514534886
22.72528073089701,37.359676710963456
22.80070930232558,37.384568139534885
22.80070930232558,37.384568139534885
22.75450930232558,37.36932213953489
22.73600341997264,37.36321519835842
22.777950681635925,37.3770577947073
22.78447979412886,37.37921240182997
22.80070930232558,37.384568139534885
22.777950681635925,37.3770577947073
22.78750930232558,37.38021213953488
22.7769255185418,37.37671949088624
22.795820413436694,37.38295480620155
22.80070930232558,37.384568139534885
22.79448288723124,37.38251342255376
22.80070930232558,37.384568139534885
22.80070930232558,37.384568139534885
22.743317997977755,37.365629009100104
22.80070930232558,37.384568139534885
22.80070930232558,37.384568139534885
22.74070930232558,37.36476813953489
22.72270930232558,37.358828139534886
22.67470930232558,37.34298813953489
22.602709302325582,37.319228139534886
22.62470930232558,37.32648813953489
22.47070930232558,37.275668139534886
22.562093917710197,37.30582506261181
22.62115047879617,37.32531372777018
22.616297537619698,37.323712257181946
22.637410333253417,37.33067947974107
22.723816098442086,37.35919338225333
22.775078234364415,37.3761098871077
22.70691982864137,37.3536176132191
22.71734088127295,37.357056560587516
22.675656670746633,37.34330077111383
22.683895143033546,37.346019466968514
22.695450681635926,37.3498327947073
22.79217481956696,37.38175176022454
22.675536888532477,37.34326124298316
22.70967481956696,37.35452676022454
22.693807893874876,37.34929067474615
22.706423588039865,37.3534538538206
22.765170840787118,37.37284044722719
22.68070930232558,37.344968139534885
22.66430930232558,37.339556139534885
22.74790930232558,37.36714413953489
22.77870930232558,37.37730813953488
22.73470930232558,37.362788139534885
22.68630930232558,37.34681613953489
22.558709302325582,37.30470813953489
22.717109302325582,37.35698013953488
22.80070930232558,37.384568139534885
22.62408958401572,37.32628363249263
22.480709302325582,37.27896813953488
22.549014387071345,37.30150881750099
22.515455065037447,37.2904342412298
22.643566445182724,37.33271099667774
22.60166168327796,37.31888242524917
22.5597569213732,37.3050538538206
22.63832834994463,37.330982425249175
22.71689977851606,37.35691099667774
22.674995016611295,37.34308242524917
22.47070930232558,37.275668139534886
22.49879440870856,37.28493622464127
22.53010930232558,37.295270139534885
22.55207916533928,37.302520194329404
22.55207916533928,37.302520194329404
22.506873685887225,37.28760238611023
22.48989534883721,37.281999534883724
22.589662790697673,37.31492279069768
22.47070930232558,37.275668139534886
22.59007100445324,37.315057501237014
22.570791269538695,37.30869518871521
22.477179890560876,37.27780343365254
22.562194450840433,37.305858238544786
22.513184549850333,37.28968497121805
22.568729104305778,37.30801467418835
22.545857817177065,37.300467149435875
22.490121067031463,37.28207402188782
22.482495016611296,37.27955742524917
22.47070930232558,37.275668139534886
22.632198664027708,37.328959628896584
22.66601542477456,37.34011915994305
22.593650478796167,37.31623872777018
22.645415184678523,37.33332108071136
22.62070930232558,37.32516813953488
22.67087323675181,37.34172223789554
22.702201839639013,37.35206067684832
22.646152340300265,37.33356434206653
22.512481454224314,37.28945294966147
22.518535389282103,37.29145074823054
22.61590930232558,37.32358413953489
22.49270930232558,37.28292813953489
22.49166168327796,37.282582425249174
22.503709302325582,37.28655813953489
22.589011189118033,37.3147077621764
22.66372817025011,37.33936436594998
22.544042635658915,37.29986813953489
22.62959819121447,37.32810147286822
22.80070930232558,37.384568139534885
22.76770930232558,37.37367813953489
22.75570930232558,37.36971813953488
22.74070930232558,37.36476813953489
