日期,本益比,殖利率(%),股價淨值比,股利年度,財報年/季
098年08月13日,18.45,3.23,2.1,,
098年08月14日,18.45,3.23,2.1,,
098年08月17日,18.02,3.3,2.05,,
098年08月18日,17.69,3.36,2.01,,
098年08月19日,17.69,3.36,2.01,,
098年08月20日,17.81,3.34,2.03,,
098年08月21日,17.52,3.4,1.99,,
098年08月24日,17.86,3.33,2.03,,
098年08月25日,17.83,3.34,2.03,,
098年08月26日,17.62,3.38,2.0,,
098年08月27日,17.6,3.38,2.0,,
098年08月28日,17.86,3.33,2.09,,
098年08月31日,16.73,3.37,2.07,,
098年09月01日,16.84,3.35,2.08,,
098年09月02日,16.79,3.36,2.07,,
098年09月03日,17.29,3.26,2.14,,
098年09月04日,17.22,3.28,2.13,,
098年09月07日,17.07,3.31,2.11,,
098年09月08日,17.13,3.29,2.12,,
098年09月09日,17.07,3.31,2.11,,
098年09月10日,17.29,3.26,2.14,,
098年09月11日,17.4,3.24,2.15,,
098年09月14日,17.09,3.3,2.11,,
098年09月15日,17.29,3.26,2.14,,
098年09月16日,17.49,3.23,2.16,,
266年01月17日,17.52,3.22,2.16,,
098年09月18日,17.36,3.25,2.14,,
098年09月21日,17.29,3.26,2.14,,
098年09月22日,17.13,3.29,2.12,,
098年09月23日,17.07,3.31,2.11,,
098年09月24日,17.04,3.31,2.1,,
098年09月25日,16.84,3.35,2.08,,
098年09月28日,16.91,3.34,2.09,,
098年09月29日,16.93,3.33,2.09,,
098年09月30日,17.72,3.18,2.19,,
098年10月01日,17.49,3.23,2.16,,
098年10月02日,17.07,3.31,2.11,,
098年10月05日,16.93,3.33,2.09,,
098年10月06日,17.02,3.32,2.1,,
098年10月07日,16.93,3.33,2.09,,
098年10月08日,17.04,3.31,2.1,,
098年10月09日,17.34,3.26,2.14,,
098年10月12日,17.45,3.23,2.16,,
098年10月13日,17.38,3.25,2.15,,
098年10月14日,17.7,3.19,2.19,,
098年10月15日,17.58,3.21,2.17,,
098年10月16日,17.63,3.2,2.18,,
098年10月19日,17.72,3.18,2.19,,
098年10月20日,17.49,3.23,2.16,,
098年10月21日,17.61,3.21,2.17,,
098年10月22日,17.74,3.18,2.19,,
098年10月23日,17.79,3.17,2.2,,
098年10月26日,17.72,3.18,2.19,,
098年10月27日,17.52,3.22,2.16,,
098年10月28日,17.58,3.21,2.17,,
098年10月29日,17.29,3.26,2.04,,
098年10月30日,14.82,3.28,2.03,,
098年11月02日,15.15,3.21,2.08,,
098年11月03日,15.15,3.21,2.08,,
098年11月04日,15.24,3.18,2.09,,
098年11月05日,15.13,3.21,2.07,,
098年11月06日,15.13,3.21,2.07,,
098年11月09日,15.28,3.18,2.1,,
098年11月10日,15.28,3.18,2.1,,
098年11月11日,15.51,3.13,2.13,,
098年11月12日,15.55,3.12,2.13,,
098年11月13日,15.63,3.11,2.14,,
098年11月16日,15.9,3.05,2.18,,
098年11月17日,16.02,3.03,2.2,,
098年11月18日,16.06,3.02,2.2,,
098年11月19日,15.79,3.08,2.16,,
098年11月20日,15.55,3.12,2.13,,
098年11月23日,15.44,3.14,2.12,,
098年11月24日,15.46,3.14,2.12,,
098年11月25日,15.5,3.13,2.12,,
098年11月26日,15.34,3.16,2.1,,
098年11月27日,15.07,3.22,2.07,,
098年11月30日,15.48,3.14,2.12,,
098年12月01日,15.34,3.16,2.1,,
098年12月02日,15.34,3.16,2.1,,
098年12月03日,15.3,3.17,2.1,,
098年12月04日,15.24,3.18,2.09,,
098年12月07日,15.24,3.18,2.09,,
098年12月08日,15.24,3.18,2.09,,
098年12月09日,15.22,3.19,2.09,,
098年12月10日,15.05,3.23,2.06,,
