3らRSI,5らRSI,7らRSI,10らRSI,RSI_up_thrend,RSI_down_thrend
85.18518518518519,90.05503890681344,73.16874703744668,99.99035233963511,0,1
56.09756097560976,15.688543560919161,98.78858634069293,99.99968877484665,1,0
86.51685393258427,66.92607003891051,99.8310385581957,30.097037854833797,1,0
21.649484536082475,97.66563680054925,99.96256784577952,96.81837850571081,0,2
58.62068965517242,99.5674272737104,99.99818908243071,99.44882419317888,0,2
94.02985074626865,99.87144464084847,38.491954920368265,99.71272355328921,0,1
100.0,100.0,95.58026886018429,6.490106803976503,0,0
100.0,47.35364312789555,98.95969635785406,95.25288056250834,1,0
100.0,94.08143939393939,99.34764830065237,95.25288055274505,1,0
60.29411764705883,98.16108863552776,11.248878805466155,0.9930097811242197,0,1
91.21951219512194,98.66962305986696,93.3840881439839,0.23100858511518244,0,1
95.74468085106383,18.957345971563978,93.38387129339856,95.84658541776511,1,0
100.0,91.09897934963207,2.0148061081780115,99.82221463403923,2,0
30.76923076923077,91.06078665077472,0.6129548027107142,7.907908524797485,0,1
85.93749999999999,3.855975485188968,93.63045755273589,75.16512850385523,1,0
85.71428571428571,1.4756517461878997,99.60890865398586,97.00902045067375,1,0
10.0,90.37536092396535,11.094657139061537,99.92116916114703,0,1
0.0,99.16492693110648,68.57918872337807,99.98707699424011,0,1
81.81818181818181,15.150306993062754,94.31408231262871,99.99606027745922,1,0
98.63013698630135,62.23366477272727,99.77331991310531,3.4714160270213537,1,0
23.88059701492537,90.0023523876735,99.94987191160125,62.99896190712942,0,2
53.636363636363626,99.39172749391729,99.97984205658453,97.22499052407294,0,2
77.92207792207792,99.82414399503465,5.635577360104806,97.22499051508882,0,1
100.0,100.0,55.08421542579845,99.98296239426082,0,0
100.0,9.200968523002421,94.61198110490668,8.090281215584508,1,0
100.0,48.29369183040331,94.61193072482361,57.22850038628313,1,0
15.624999999999998,90.24707412223667,99.9295346772077,99.12919534717143,0,2
36.8421052631579,90.2120717781403,11.233706589412655,99.7958478277362,0,1
77.77777777777779,99.73315543695797,50.03678465002563,6.11824698514164,0,1
100.0,15.211124300491775,98.24950081428106,2.385758366676986,1,0
100.0,44.567627494456765,99.46164621680904,92.60563718478768,1,0
22.580645161290327,96.65831244778613,9.300276868864838,99.88744823478196,0,1
40.0,98.69791666666667,4.520015902626991,99.98711860829387,0,1
91.30434782608697,13.866605546642218,88.35019925670532,99.9974366581509,1,0
100.0,8.088235294117647,99.73542901558707,38.43086392052055,1,0
24.999999999999996,82.24661071659133,99.95849908724053,98.90856801902302,0,2
10.0,99.39280194303379,99.988730873444,99.85541049945448,0,2
66.66666666666666,99.87335942896615,49.50302135548994,99.97868507889892,0,1
99.24812030075188,99.97942810121373,98.46098484883169,99.99711743101462,0,1
100.0,60.864120225422674,99.72143327857135,99.99993484032986,1,0
100.0,97.89703903095558,99.9422292437926,20.368326941365474,1,0
74.28571428571428,99.49351701782821,99.98880672875505,96.19131447259004,0,2
96.62921348314607,99.85652797704446,99.99961691506076,99.25699774100666,0,2
98.78048780487805,99.96110462854921,26.996417535048998,99.7399821973034,0,1
100.0,100.0,94.70052573273605,99.9858181289835,0,0
100.0,34.509256025148446,98.61020466342613,99.99889361669953,1,0
99.99999999999999,92.87004468105333,99.3658951416106,21.33107528288511,1,0
47.05882352941176,97.56710729056849,99.94312906220983,98.59690358977872,0,2
89.28571428571429,98.61751152073731,99.99365650902588,17.73309767441027,0,2
94.5205479452055,99.79529170931423,28.670035558277075,2.4262628147648444,0,1
100.0,100.0,98.01594960722129,47.630504075022245,0,0
100.0,37.1543489190548,23.56362798380724,98.89348423604426,2,0
100.0,97.26671404362324,4.6291654429593,4.037638221754379,3,0
51.351351351351354,30.19604514979207,38.96178207521189,0.5460341719390052,1,0
95.62043795620438,8.251016850668217,97.6702453285545,95.26357061411282,1,0
40.97560975609756,32.63651877133106,5.692098959615304,53.75451964596194,2,0
17.8343949044586,95.31110449538554,1.0551284148535907,97.49063265281278,0,1
17.307692307692307,7.803892765332355,93.02559772766438,99.39569143716707,1,0
90.29126213592234,1.9223520542781758,60.89821431541909,14.848825721004083,1,0
12.550607287449392,89.91309745499689,96.33549260133485,0.15244833311510833,0,2
4.424778761061947,65.93172119487909,98.8234632164539,95.73566186942631,0,2
82.22222222222223,94.6203953279425,21.65057028752226,54.83326064461287,0,1
72.07792207792208,97.87184284377922,0.3439182272231979,92.45271658986158,0,1
94.15584415584416,30.69306930693069,93.9970529995336,42.2185583449809,1,0
95.99999999999999,0.734349183036534,62.14268122722312,2.4403096075392434,1,0
47.05882352941176,91.7590793033802,89.95184241346307,98.6678578203257,0,1
1.2539184952978055,67.60039314799212,51.857771250440955,99.76699818638109,0,1
86.8421052631579,87.22137615949052,5.2415359890788595,6.541413765729914,0,1
72.41379310344827,60.898985016916384,98.07568164859232,1.4724131714553919,1,0
88.60759493670885,11.042944785276072,99.55066239989388,91.83707261866765,1,0
58.33333333333334,97.2597192224622,9.696862265622856,99.26384902132658,0,1
18.918918918918916,99.1867439259937,2.9139490222425697,99.97053758752686,0,1
95.39170506912443,14.088577414926666,87.85659041556355,7.73947561998331,1,0
98.24561403508774,5.459890802183955,98.43046460992736,1.6869612675526655,1,0
24.669603524229075,82.41729617087783,99.90806094687291,95.46274963740795,0,2
8.396946564885496,96.7880085653105,10.88248814719672,99.41095496206802,0,1
69.23076923076924,99.7273278125631,3.176650338893718,13.508801285257533,0,1
94.85294117647058,14.929886230487204,93.13298372999866,76.80438261029894,1,0
99.99999999999999,5.6267806267806275,98.76718086434671,2.4388302497940986,1,0
23.222748815165875,89.78057151671744,19.00456297666487,76.19523265792098,0,1
11.026615969581748,97.52729308575161,70.91911367452064,97.21907449960248,0,1
81.02189781021899,25.84179252290171,3.600812121536809,5.5365250384154425,2,0
96.10027855153203,65.74419271580155,69.16501004092245,0.5308009693989527,1,0
40.20979020979022,5.388728918140683,94.64772877938958,82.91498129173142,1,0
58.394160583941606,61.64840400190567,7.989096344504877,99.43027782024741,0,1
6.870229007633588,90.35061432424334,1.0780960335830296,14.475284338613319,0,1
50.980392156862735,11.264711376798056,76.61137292729605,4.12049863509108,1,0
79.33884297520662,2.084237950499349,98.81320165831907,0.2969479456067848,1,0
19.161676646706585,69.16963551657989,19.627843949449087,0.296947946372196,0,1
4.255319148936169,97.62633189154974,7.406984030212197,99.04227246659224,0,1
54.54545454545453,25.66770724939299,0.8373198727769686,99.75883064827536,2,0
94.84536082474227,12.323064113238969,0.837330393686013,1.5151067615730107,2,0
37.55102040816327,2.1691338121061117,97.9883432665668,88.51552313853541,1,0
22.58064516129032,2.0542920029347025,99.34203502028615,5.237297512248817,1,0
0.0,95.90302286328064,2.3751052237572434,2.935661133425478,0,1
0.0,98.4251968503937,84.39476652492642,93.15682408414459,0,1
