DIF,MACD,MACD_buy,MACD_sell
31.987964303399167,20.57736820346976,0,0
31.36064345987677,20.58450364116908,0,0
30.969253678364566,20.626678045137783,0,0
31.037417940094542,20.823337414547538,0,0
30.52023970048299,21.110695179217117,0,0
29.747110533553723,21.310334537039573,0,0
27.92035860727583,21.47558434357378,0,0
25.437190023447897,21.52359027309375,0,0
23.47595026702129,21.591845711660493,0,0
21.853044974025465,21.475361651528758,0,0
20.380128836797667,21.427110033650735,0,1
19.62916854765524,21.23011367440372,0,0
18.690609508820444,21.243137380591186,0,0
18.875348924579384,21.0247272728476,0,0
19.65113852179047,20.953086411335573,0,0
20.45731159282286,20.929321950391145,0,0
21.010538871226913,21.12756162820541,0,0
21.71650475935371,21.316109653643267,1,0
22.250788423699532,21.4420517429309,0,0
22.4563535600289,21.378091741521864,0,0
22.16300064588893,21.178765806392132,0,0
22.0516592806282,20.96708744311669,0,0
22.403341257613647,20.563513493454227,0,0
21.40634856267343,20.143241258504627,0,0
20.255185543856214,19.560122183613256,0,0
19.38217113738267,18.864674085782134,0,0
19.86960116930345,18.118683135603515,0,0
21.06818130212889,17.281469555029403,0,0
22.495195489085972,16.29066587949044,0,0
23.02210893514257,15.281284145360974,0,0
23.639775058143755,14.271203845450515,0,0
24.26247218156493,13.389641919206127,0,0
24.57707873281811,12.548990099908984,0,0
25.257509949394603,11.776179516976319,0,0
25.325878375652223,10.931263913976693,0,0
25.19749220879305,10.220852517701385,0,0
25.430752160055818,9.499121580072384,0,0
25.28221119370312,8.913976407302403,0,0
24.368514015650135,8.301832376840085,0,0
22.84785304998036,7.890710629370135,0,0
21.160058827616638,7.460751502964659,0,0
19.843491528125355,7.168953667243065,0,0
19.019894843638156,6.986000631389102,0,0
17.997487514076056,6.767299904427741,0,0
16.65983324959393,6.559655569530003,0,0
15.448356959297314,6.322475529230661,0,0
14.288278393001576,6.038379555024677,0,0
13.00703951903148,5.745199139623658,0,0
11.66615587234179,5.368399164459789,0,0
10.777738477878415,4.754591348909027,0,0
9.35975498926689,4.1432059046864405,0,0
8.77556871850436,3.3231965730100246,0,0
8.691380878825498,2.542474128120842,0,0
8.546597405216062,1.350218530825332,0,0
8.64475962755131,0.5579972505831285,0,0
8.631581087658674,-0.5165852097876011,0,0
8.718301117284227,-1.3323485983937635,0,0
9.707630302482187,-2.3851275176681206,0,0
10.269172203553182,-3.2410854339927213,0,0
10.480170452505035,-4.328322512667447,0,0
10.546133010948836,-4.978545585603635,0,0
11.215108741748793,-5.673839234458815,0,0
10.480381638271695,-6.357869196011348,0,0
8.817433493277065,-7.025696782164525,0,0
8.119380646490697,-7.739329882644057,0,0
6.957584021734476,-8.298020180196001,0,0
6.3025987440020685,-8.873342807453803,0,0
5.387652462329186,-9.475014761268271,0,0
3.7087551724509353,-10.137900880227368,0,0
1.0537443744980237,-10.628410224537765,0,0
0.5387488560272118,-11.112187484236797,0,0
-0.2664090436359743,-11.40334339344386,0,0
-0.8320264494805087,-11.818568338483665,0,0
-1.936403190038618,-12.145779941658963,0,0
-3.203278183405075,-12.26677554023325,0,0
-3.590041855906918,-12.201027316910924,0,0
-3.815110516359539,-12.238301172079128,0,0
-4.861432908190295,-12.224304901298707,0,0
-6.240754464189649,-12.246050889052059,0,0
-7.528677548913379,-12.266687332578572,0,0
-8.286664067249319,-12.138193565120813,0,0
-8.43359720058345,-12.049571358366485,0,0
-10.025739531485328,-11.882952392903906,0,0
-11.924790440651122,-11.618274786638125,0,1
-12.38067301284974,-11.130022574571612,0,0
-12.1079169793598,-10.702801807930562,0,0
-12.207302304187408,-10.212770096882277,0,0
-12.054775176179248,-9.653811629313905,0,0
-12.677480184777039,-8.964989996938659,0,0
-13.135151229426924,-8.182851587952312,0,0
-13.159158253988437,-7.268643085251137,0,0
-13.77475764527992,-6.379001653655363,0,0
-14.89467166623308,-5.452322246289037,0,0
-15.280166701468374,-4.474828402305808,0,0
-14.79903248532895,-3.6313901741291152,0,0
-14.898762522397192,-2.5586858597933126,0,0
-15.203890496656754,-1.7293721047111184,0,0
-15.53765179476028,-0.6178875555385068,0,0
-15.75037764368875,0.2570643829249051,0,0
-15.398251325140109,1.3475895323110167,0,0
-14.533926441099538,2.2326637665833804,0,0
-13.995694659053584,3.1490222399599017,0,0
-12.736050534928722,3.816513300304806,0,0
-12.139398572355788,4.4728170557554705,0,0
-11.239462451801103,5.107777902808469,0,0
-10.321879076812536,5.872379449774788,0,0
-9.675118055255211,6.597158464085124,0,0
-8.479795906936602,7.356850827015288,0,0
-7.645333151708996,8.091888538895335,0,0
-5.858141298284522,8.889211928943755,0,0
-4.102734368302322,9.748546858214489,0,0
-2.146157023222372,10.709633893405124,0,0
-1.3485451097098462,11.664705958772682,0,0
-1.1254325203217945,12.44799568069719,0,0
-0.8497443422981519,13.379613734951544,0,0
-0.0655060591872143,14.187871862692898,0,0
0.6182381648442856,14.934735260676504,0,0
1.227406419301417,15.578006134972103,0,0
1.4652552616187222,16.13492050283274,0,0
1.6075240710982825,16.663734992232524,0,0
2.0839104559817088,17.17347388074217,0,0
3.7561867442368566,17.46513882143455,0,0
4.8050748540572386,17.89300391074176,0,0
5.488490952714358,18.25877804214896,0,0
7.159127632051707,18.66891598317829,0,0
8.62733477357608,19.05894079285095,0,0
10.133994292051568,19.451516619426837,0,0
11.235090705930418,19.784991656752958,0,0
11.980706991195007,20.039188131590358,0,0
13.458119675424427,20.111327016715435,0,0
14.295353760743808,20.037211614876586,0,0
14.290581938576906,19.94830843880332,0,0
14.78935562099565,19.82350946169753,0,0
15.058127039341002,19.753673989134136,0,0
15.538513438184111,19.52211477273329,0,0
16.15473733724292,19.39893808463275,0,0
17.100830570772757,18.997499659299137,0,0
18.479650216903053,18.73466441419253,0,0
20.04709419844545,18.275937777573105,1,0
20.763401328363898,17.96740029154585,0,0
20.89202022759281,17.521086639770612,0,0
20.72684623748006,17.311435009045486,0,0
21.029088217554488,16.92263152989544,0,0
21.17261760713967,16.821530630085373,0,0
21.620575226469896,16.731960061774,0,0
22.056032766393628,17.159978753019303,0,0
21.883747186203266,17.725962155565075,0,0
21.803720904779254,18.367677202628204,0,0
21.29534232878308,18.998439967409926,0,0
20.5912614215473,19.560887643437454,0,0
19.914907079271302,20.156473800600413,0,1
19.27105252488593,20.477878423819817,0,0
17.6853174023812,20.726204863600195,0,0
15.46773813834966,20.626512291556303,0,0
12.755951686609706,20.33419296574709,0,0
12.329184954583695,19.922257045755252,0,0
12.636050908185666,19.41220022064604,0,0
13.594835439391204,18.959088766225726,0,0
14.366304634647975,18.56958935141653,0,0
15.892924521908014,18.46949378290462,0,0
17.87754954860128,18.615661604497646,0,0
19.883342952873875,18.77357150373332,1,0
22.29425245501261,18.79481396514611,0,0
23.44353327476051,18.838470518804712,0,0
24.022163946151295,18.73294889552694,0,0
23.774930163873364,18.713643422248417,0,0
22.782643697564083,18.49731319266595,0,0
20.917468699510152,18.37651296320106,0,0
18.385300339092055,18.179760398467387,0,0
17.25318289958983,18.16602288391719,0,1
17.899052161903796,18.01243747382169,0,0
18.513975443447748,17.95577743856277,1,0
19.042274243622785,17.747510827937386,0,0
19.337778905029893,17.7188900107992,0,0
19.675491706970888,17.727527695895528,0,0
20.062165258437858,18.007610751697523,0,0
19.767524369460205,18.1699734695337,0,0
19.218473280336525,18.389740104652837,0,0
18.849052097050162,18.460805289342854,0,0
19.007004665334875,18.56220043257223,0,0
19.072144057358912,18.5610027603728,0,0
18.90332714961704,18.49532771733851,0,0
17.827443356104823,18.348523834713166,0,1
16.564007047205905,18.037005428516707,0,0
15.957744601342824,17.57095723497674,0,0
16.479093339876272,17.01669041924207,0,0
17.00664619029709,16.329582227722334,1,0
17.69989879297526,15.69980371516759,0,0
18.060015405223055,14.999251365703952,0,0
18.829691293507096,14.550121861531746,0,0
19.410918463011342,14.116138324879152,0,0
20.32861687262573,13.587711264631574,0,0
21.458790233658874,13.046058884025989,0,0
22.118265465615252,12.568022321269444,0,0
22.53645726399435,12.09267686803666,0,0
22.28423723553999,11.556179582241816,0,0
21.650905675795855,11.023973721602028,0,0
20.298531129710966,10.428337750631528,0,0
18.531703529003153,9.742216807524592,0,0
18.39976424913243,9.21431865000452,0,0
18.396456088291814,8.726949082491398,0,0
17.6664670380801,8.538975052132102,0,0
16.859586947983303,8.543589001821829,0,0
16.61539327737995,8.655578858391433,0,0
16.367489453775192,8.856726678424181,0,0
16.06754690868297,8.909876008956342,0,0
16.15100137791177,8.833249895644567,0,0
15.28441415313955,8.685327511528847,0,0
13.803287707657375,8.49479230408207,0,0
11.915693041494194,8.17190361362331,0,0
9.460389405169678,7.75848383625264,0,0
8.072559827094778,7.344607542581263,0,0
7.29103829541242,6.907388899987623,0,0
