date,open,close
2019/12/31,8918.74,8972.6
2019/12/30,9004.45,8945.99
2019/12/27,9049.47,9006.62
2019/12/26,8970.21,9022.39
2019/12/24,8955.01,8952.88
2019/12/23,8950.2,8945.65
2019/12/20,8911.84,8924.96
2019/12/19,8838.97,8887.22
2019/12/18,8834.65,8827.73
2019/12/17,8829.47,8823.36
2019/12/16,8791.31,8814.23
2019/12/13,8713.91,8734.88
2019/12/12,8645.36,8717.32
2019/12/11,8631.12,8654.05
2019/12/10,8623.56,8616.18
2019/12/9,8650.86,8621.83
2019/12/6,8634.25,8656.53
2019/12/5,8587.93,8570.7
2019/12/4,8557.45,8566.67
2019/12/3,8460.72,8520.64
2019/12/2,8672.84,8567.99
2019/11/29,8682.01,8665.47
2019/11/27,8669.59,8705.18
2019/11/26,8635.4,8647.93
2019/11/25,8559.65,8632.49
2019/11/22,8530.54,8519.88
2019/11/21,8527.87,8506.21
2019/11/20,8543.57,8526.73
2019/11/19,8578.02,8570.66
2019/11/18,8529.16,8549.94
2019/11/15,8524.48,8540.83
2019/11/14,8461.06,8479.02
2019/11/13,8455.02,8482.1
2019/11/12,8471.07,8486.09
2019/11/11,8431.26,8464.28
2019/11/8,8422.67,8475.31
2019/11/7,8455.11,8434.52
2019/11/6,8426.57,8410.63
2019/11/5,8446.62,8434.68
2019/11/4,8445.5,8433.2
2019/11/1,8335.05,8386.4
2019/10/31,8314.38,8292.36
2019/10/30,8284.28,8303.98
2019/10/29,8313.35,8276.85
2019/10/28,8285.77,8325.99
2019/10/25,8150.59,8243.12
2019/10/24,8180.04,8185.8
2019/10/23,8090.24,8119.79
2019/10/22,8188.12,8104.3
2019/10/21,8137.42,8162.99
2019/10/18,8149.85,8089.54
2019/10/17,8176.91,8156.85
2019/10/16,8119.81,8124.18
2019/10/15,8074.85,8148.71
2019/10/14,8044.35,8048.65
2019/10/11,8085.2,8057.04
2019/10/10,7904.56,7950.78
2019/10/9,7895.96,7903.74
2019/10/8,7898.27,7823.78
2019/10/7,7956.41,7956.29
2019/10/4,7908.44,7982.47
2019/10/3,7787.02,7872.26
2019/10/2,7851.13,7785.25
2019/10/1,8026.83,7908.68
2019/9/30,7964.09,7999.34
2019/9/27,8047.11,7939.63
2019/9/26,8070.12,8030.66
2019/9/25,7990.66,8077.38
2019/9/24,8147.23,7993.63
2019/9/23,8106.49,8112.46
2019/9/20,8184.88,8117.67
2019/9/19,8193.59,8182.88
